raw time,,adjusted time,, trigger
1738540687.281,,5.819000006,,1
1738540687.287,,5.825000048,,1
1738540687.295,,5.833000183,,1
1738540687.302,,5.840000153,,1
1738540687.309,,5.847000122,,1
1738540687.316,,5.854000092,,1
1738540687.323,,5.861000061,,1
1738540687.329,,5.867000103,,1
1738540687.336,,5.874000072,,1
1738540687.343,,5.881000042,,1
1738540687.350,,5.888000011,,1
1738540687.357,,5.895000219,,1
1738540687.364,,5.902000189,,1
1738540687.370,,5.907999992,,1
1738540687.378,,5.916000128,,1
1738540687.384,,5.92200017,,1
1738540687.391,,5.929000139,,1
1738540687.399,,5.937000036,,1
1738540687.405,,5.943000078,,1
1738540687.413,,5.951000214,,1
1738540687.419,,5.957000017,,1
1738540687.427,,5.965000153,,1
1738540687.434,,5.972000122,,1
1738540687.441,,5.979000092,,1
1738540687.448,,5.986000061,,1
1738540687.455,,5.993000031,,1
1738540687.462,,6,,1
1738540687.468,,6.006000042,,1
1738540687.475,,6.013000011,,1
1738540687.482,,6.020000219,,1
1738540687.489,,6.027000189,,1
1738540687.496,,6.034000158,,1
1738540687.503,,6.041000128,,1
1738540687.510,,6.048000097,,1
1738540687.516,,6.054000139,,1
1738540687.523,,6.061000109,,1
1738540687.531,,6.069000006,,1
1738540687.538,,6.076000214,,1
1738540687.545,,6.083000183,,1
1738540687.552,,6.090000153,,1
1738540687.558,,6.096000195,,1
1738540687.565,,6.103000164,,1
1738540687.572,,6.110000134,,1
1738540687.579,,6.117000103,,1
1738540687.587,,6.125,,1
1738540687.594,,6.132000208,,1
1738540687.601,,6.139000177,,1
1738540687.608,,6.146000147,,1
1738540687.615,,6.153000116,,1
1738540687.622,,6.160000086,,1
1738540687.628,,6.166000128,,1
1738540687.635,,6.173000097,,1
1738540687.642,,6.180000067,,1
1738540687.649,,6.187000036,,1
1738540687.656,,6.194000006,,1
1738540687.663,,6.201000214,,1
1738540687.670,,6.208000183,,1
1738540687.677,,6.215000153,,1
1738540687.684,,6.222000122,,1
1738540687.691,,6.229000092,,1
1738540687.698,,6.236000061,,1
1738540687.704,,6.242000103,,1
1738540687.711,,6.249000072,,1
1738540687.718,,6.256000042,,1
1738540687.725,,6.263000011,,1
1738540687.732,,6.270000219,,1
1738540687.739,,6.277000189,,1
1738540687.747,,6.285000086,,1
1738540687.754,,6.292000055,,1
1738540687.761,,6.299000025,,1
1738540687.768,,6.305999994,,1
1738540687.775,,6.313000202,,1
1738540687.782,,6.320000172,,1
1738540687.788,,6.326000214,,1
1738540687.795,,6.333000183,,1
1738540687.802,,6.340000153,,1
1738540687.809,,6.347000122,,1
1738540687.820,,6.35800004,,1
1738540687.823,,6.361000061,,1
1738540687.830,,6.368000031,,1
1738540687.837,,6.375,,1
1738540687.844,,6.382000208,,1
1738540687.851,,6.389000177,,1
1738540687.858,,6.396000147,,1
1738540687.864,,6.402000189,,1
1738540687.871,,6.409000158,,1
1738540687.878,,6.416000128,,1
1738540687.886,,6.424000025,,1
1738540687.893,,6.430999994,,1
1738540687.900,,6.438000202,,1
1738540687.906,,6.444000006,,1
1738540687.913,,6.451000214,,1
1738540687.920,,6.458000183,,1
1738540687.928,,6.46600008,,1
1738540687.934,,6.472000122,,1
1738540687.941,,6.479000092,,1
1738540687.948,,6.486000061,,1
1738540687.955,,6.493000031,,1
1738540687.962,,6.5,,1
1738540687.969,,6.507000208,,1
1738540687.976,,6.514000177,,1
1738540687.982,,6.520000219,,1
1738540687.989,,6.527000189,,1
1738540687.996,,6.534000158,,1
1738540688.003,,6.541000128,,1
1738540688.010,,6.548000097,,1
1738540688.018,,6.555999994,,1
1738540688.025,,6.563000202,,1
1738540688.032,,6.570000172,,1
1738540688.038,,6.576000214,,1
1738540688.049,,6.587000132,,1
1738540688.053,,6.59100008,,1
1738540688.059,,6.597000122,,1
1738540688.067,,6.605000019,,1
1738540688.072,,6.610000134,,1
1738540688.080,,6.618000031,,1
1738540688.087,,6.625,,1
1738540688.094,,6.632000208,,1
1738540688.101,,6.639000177,,1
1738540688.108,,6.646000147,,1
1738540688.115,,6.653000116,,1
1738540688.122,,6.660000086,,1
1738540688.129,,6.667000055,,1
1738540688.136,,6.674000025,,1
1738540688.143,,6.680999994,,1
1738540688.149,,6.687000036,,1
1738540688.157,,6.695000172,,1
1738540688.164,,6.702000141,,1
1738540688.170,,6.708000183,,1
1738540688.178,,6.71600008,,1
1738540688.185,,6.72300005,,1
1738540688.191,,6.729000092,,1
1738540688.198,,6.736000061,,1
1738540688.208,,6.746000051,,1
1738540688.212,,6.75,,1
1738540688.219,,6.757000208,,1
1738540688.227,,6.765000105,,1
1738540688.234,,6.772000074,,1
1738540688.240,,6.778000116,,1
1738540688.249,,6.787000179,,1
1738540688.254,,6.792000055,,1
1738540688.261,,6.799000025,,1
1738540688.268,,6.805999994,,1
1738540688.275,,6.813000202,,1
1738540688.282,,6.820000172,,0.992157
1738540688.289,,6.827000141,,1
1738540688.296,,6.834000111,,1
1738540688.303,,6.84100008,,1
1738540688.311,,6.849000216,,1
